prompt,prompt_len,target
The bullets whistled past the house.,8,1
John write books.,5,0
Any lion is generally majestic.,7,0
The explosives destroyed the warehouse.,7,1
John bought a lot of books for his sons.,11,1
"Kim considered joining the navy, but I never considered.",12,0
John talked to any powerful politician.,8,0
"This is the problem that you'll beat the competition more easily, the sooner you solve.",20,0
The line is drying with a lot of clothes.,11,0
John believes the rice to have been cooked by Bill.,12,1
Water filled the cup high.,7,1
I wonder who what bought?,7,0
Bruce loved and Kelly hated phonology class.,10,1
The door hinges squeaked.,7,1
The raise which Scrooge generously gave Tom's father increased his yearly salary by five cents.,19,1
Talked with Bill about the exam.,9,0
The car has been driven.,7,1
The window broke from the force of the wind.,11,1
Genie intoned that she was tired,8,1
John talked to every woman.,7,1
Reports of the lettering on the covers of which the government prescribes the height are shocking waste of public funds.,22,0
The house is been remodelling.,8,0
The secretary transcribed the speech into the record.,10,1
"I remember John being discussed, but you recall Sally being.",13,0
To delay the march and to go ahead with it has been argued by different people at different times.,21,0
Have the kids arrived safely?,7,1
Paul yawned.,5,1
There was he in the garden.,8,0
Evan's every idea was completely insane.,10,1
At most three teachers assigned any homework.,9,1
King Kong is a movie which you'll laugh yourself sick if you see it.,18,1
There run many people.,6,0
He said that himself was hungry.,8,0
Where has he put the cake?,8,1
Gilgamesh should be slowly tickling the mandrake,11,1
Who did you think Mary saw?,8,1
"As it rains harder, how much faster a flow that appears in the river?",17,0
On the line are drying a lot of clothes.,11,0
How slowly would you say he was driving?,10,1
The oil separated from the vinegar.,8,1
He seems enough intelligent for you.,8,0
Bill slowly recited his lines.,7,1
Mickey teamed with the women up.,8,0
The writer is that gets you so involved.,10,0
The king banished at the general from the army.,11,0
The politician perjured his aide.,8,0
The bear sniff,4,0
The message was that you should come on time.,11,1
Robin arrived most of the way at the station.,11,0
The truck spread the salt.,7,1
John goes to school.,6,1
Which hat do you believe that she never wore?,11,1
I think that you will see that the girl will put a picture on your desk.,18,1
They persuaded it to rain.,7,0
The person who in came at that moment was Aunt Norris.,13,0
Brown equipped a camera at Jones.,8,0
Brown equipped Jones a camera.,7,0
Kim depends at Sandy.,6,0
The hot sun was played under by the children.,11,0
What do you think Matt kissed?,8,1
John would be preferred to be the candidate.,10,0
"The red, this girl in the red coat will put a picture of Bill on your desk before tomorrow.",22,0
"Jason became invisible, so that he could escape",10,1
Jake kicked the ball all the way to Bill.,11,1
I share your view but I just wonder why you think that's good.,17,1
Bill confirmed that Roger has eaten the cake.,10,1
I might have eaten some seaweed.,8,1
Dana would be unlikely for Pat to be called upon.,12,0
They dismissed as too costly the proposal for the State to build a sidewalk from Dartmouth to Smith.,20,1
The Romans destroyed ruins from the city.,9,0
I'm going to write to the Game Warden if more than one deer my neighbor brings back.,21,0
Every politician is worried when the press starts attacking him.,12,1
Robert thinks that student should eat asparagus.,9,1
I funneled the bottle with the mixture.,11,0
How do you wonder who could solve this problem.,11,0
I went to the shop for to get bread.,11,1
John promised Bill to leave.,7,1
Lecturer was sitting at her desk.,8,0
John ate.,4,1
Who do you regret saw you?,8,0
I can't remember the name of somebody who had any misgivings.,16,0
"Pat wanted to go to Berne, and Chris going to Rome.",14,0
The package weighed 10 lb.,9,1
I went to the store and bought some whisky.,11,1
$5 will buy you a ticket.,9,1
Gilgamesh cut the steak with a knife.,10,1
John eats more than he sleeps.,8,1
Who do you think that saw you?,9,0
This proved my hypothesis.,6,1
Paula hit Deirdre on the back.,9,1
The committee disliked her proposal.,7,1
Calvin will have eaten.,6,1
Tess knocked at the door.,7,1
This flyer differs from that flyer.,8,1
The man killed the king with the knife.,10,1
I would prefer for John to be the candidate.,11,1
Owners of a pig loves to eat truffles,9,0
Bill did not destroy the world.,8,1
"I did, as Bill had thought, go to the store.",14,1
Moya said she liked football.,8,1
Sally enough eats caviar.,6,0
It tried to rain.,6,0
There exist few solutions which are cost-effective.,11,1
Bill and Mary washed himself.,7,0
They made him to exhaustion.,7,0
There tried to be riots in Seoul.,9,0
The sheriff denied that gangsters had bribed him.,11,1
It would be inconvenience for you to leave so soon.,12,1
The general banished from the army.,8,0
