prompt,prompt_len,target
" we don't sell recorders."" ""Synthesizers, then."" ""But the point is, those Social Security",24,bigram
" and defined only by physical laws.” Other memorable players include Kenton (Zach Grenier), the violent head of security",24,not_bigram
 due to lack of resources.Supporters of the existing system may argue that the danger posed to US national security,23,not_bigram
 let people know who I am.”Latino Daily NewsAARP Has Not Changed Its Position on Social Security,21,bigram
" ""scanning files to index"" (it seems a task related to the file system ?)... I disabled the ""Security",24,not_bigram
 respects your privacy?A:Don't use 3rd party anti-virus.  Get Microsoft Security,23,not_bigram
" site on sikhism, sikh history and philosophy, customs and rituals,sikh way of life, social and",25,not_bigram
" boss was a learning curve for a kibbutznik: managing finances, wages, income tax, and social security",23,bigram
" because we end poverty in America altogether.And, if a guaranteed minimum income were made an entitlement like Social Security",23,bigram
" persistent overspending on pumpkin spice infused items, seeking out increasingly intense pumpkin spice encounters, and excessively posting on social media",24,not_bigram
 try this with me?Do you love Instagram but loathe the thought of actually posting photos to the image sharing social media,25,not_bigram
" of gendered interpretations that Emma understands the moment of terrible stress and embarrassment when Elton proposes to her, his social superior",24,not_bigram
withDescription(description);        return this;    }    @Override    public NetworkSecurityGroupSecurity,21,not_bigram
"', 'Network/Http');class ClientController extends AppController {    public $components = array('Security",22,not_bigram
 form 1040ez My spouse is a nonresident alien. Irs form 1040ez Does he need a social security,31,bigram
" St. Jerome. 83–102.Labov, William (1990). The intersection of sex and social class",30,not_bigram
"year projection period,” the report states. “As a result, asset reserves are expected to decline during 2018. Social Security",29,bigram
" produce documents related to an inadvertent overpayment to Beattie, and wrongful termination of Beattie's social security",22,bigram
 inquiry often focuses not so much upon explicit declarations of political or philosophical doctrine as upon the implicit assumptions about individual and social being,25,not_bigram
" obligations should remain off the government’s balance sheet, claiming that the government always has the option of changing the Social Security",25,bigram
 fund which provides benefits to retirees beginning in 2013. The SSA believes that an immediate and permanent increase of social security,27,bigram
" the personal information of approximately 143 million U.S. consumers. The information accessed ""primarily includes names, Social Security",27,bigram
