prompt,target
Bugs Bunny,1
Scooby Doo,1
Tom Cat,1
Jerry Mouse,1
SpongeBob SquarePants,1
Daffy Duck,1
Snoopy,1
Mickey Mouse,1
Homer Simpson,1
Donald Duck,1
Shaggy Rogers,1
Winnie-the-Pooh,1
Goofy,1
Bart Simpson,1
Wile E. Coyote,1
Road Runner,1
Spiderman,1
Garfield,1
Sitch,1
Patrick Star,1
Pink Panther,1
Kermit the Frog,1
Pluto,1
Taz,1
Eeyore,1
Perry the Platypus,1
Tigger,1
Tweety bird,1
Pikachu,1
Squidward Tentacles,1
Fred Flintstone,1
Sylvester ,1
Charlie Brown,1
Batman,1
Stewie Griffin,1
Marvin the Martian,1
Popeye,1
Porky Pig,1
Teenage Mutant Ninja Turtles,1
Scrooge McDuck,1
Speedy Gonzales,1
Puss in Boots,1
Chip 'n' Dale,1
Velma Dinkley,0
Courage the Cowardly Dog,1
Elmer Fudd,1
Plankton,1
Gary the snail,1
Yogi Bear,1
Piglet,1
Woody Woodpecker,1
Foghorn Leghorn,1
Deadpool,1
Casper the Friendly Ghost,1
Lola Bunny,0
Eugene H. Krabs,1
Bender,1
The Powerpuff Girls,0
Dexter,1
Peter Griffin,1
Fairly Oddparents Cosmo,1
Failry Oddparents Wanda,0
Eric Cartman,1
Olaf,1
Baymax,1
Joker,1
Clifford the Big Red Dog,1
Pepé le Pew,1
Brian Griffin,1
Dr. Heinz Doofenshmirtz,1
Sandy Cheeks,0
Barney Rubble,1
Rick Sanchez,1
Iron Man,1
The Little Mermaid,0
Lisa Simpson,0
Maggie Simpson,0
Daphne Blake,0
Kim Possible,0
Linus van Pelt,1
Papa Smurf,1
Optimus Prime,1
Lumiere,1
Marge Simpson,0
Fred Jones,1
Timmy Turner,1
Goku,1
Smurfette,0
Tommy Pickles,1
Little Mermaid Sebastian,1
Futurama Fry,1
Charlie Brown Pig-Pen,1
Skeletor,1
Wilma Flintstone,0
Inspector Gadget,1
Minnie Mouse,0
Kenny McCormick,1
Little Mermaid Flounder,1
The Flintstones Dino,1
George Jetson,1
Betty Rubble,0
Jiminy Cricket,1
Bullwinkle J. Moose,1
Blue's Clues Blue,1
Superman,1
Betty Boop,0
Emperor's New Groove Kronk,1
Ash Ketchum,1
Lilo Pelekai,0
Droopy Dog,1
TMNT Michaelangelo,1
TMNT Donatello,1
TMNT Leonardo ,1
TMNT Raphael,1
Scrappy-Doo,1
Felix the Cat,1
Futurama Leela,0
Mr. Burns,1
Powerpuff Girls Bubbles,0
Johnny Bravo,1
Bam Bam Rubble,1
Daisy Duck,0
Spongebob Plankton,1
Alvin and the Chipmunks,1
Snow White,0
Krusty the Clown,1
Grampa Simpson,1
Finn the Human,1
Christopher Robin,1
Moe Szyslak,1
Pebbles Flintstone,0
Rocky the Flying Squirrel,1
Glenn Quagmire,1
Butters Stotch,1
Gumball Watterson,1
Teen Titans Raven,0
Teen Titans Starfire,0
Teen Titans Cyborg,1
Teen Titans Beast Boy,1
Teen Titans Robin,1
Avatar Aang,1
Mr. Bean,1
Lucy van Pelt,0
Powerpuffl Girls Blossom,0
Muttley,1
Darkwing Duck,1
Jake the Dog,1
He-Man,1
Charizard,1
Danny Phantom,1
Miss Piggy,0
Sally Brown,0
Hulk,1
Jimmy Neutron,1
Ned Flanders,1
Arthur Read,1
Captain America,1
Kyle Broflovski,1
Zuko,1
Katara,0
Toph,0
Sokka,1
Uncle Iroh,1
Dennis the Menace,1
Princess Aurora,0
Mulan,0
Mighty Mouse,1
Tarzan,1
Paddington Bear,1
Mable Pines,0
Lois Griffin,0
Morty Smith,1
Hank Hill,1
Underdog,1
Top Cat,1
Mordecai,1
Rigby,1
Muscleman,1
Barney Gumble,1
Hello Kitty,0
Captain Hook,1
Rainbow Dash,0
Angelica Pickles,0
Stan Marsh,1
Loki,1
Wally Gator,1
Pokemon Misty,0
Naruto Uzumaki,1
Sasuke Uchicha ,1
Sterling Archer,1
Hinata,0
Dipper Pines,0
Samurai Jack,1
Vegeta,1
Pinkie Pie,0
Ursula,0
Avatar Korra,0
Kakashi Hatake,1
Shado the Hedgehog,1
Aayla Secura,0
Ada Wong,0
Amanda Waller,0
Ana,0
April O'Neil,0
Young Justice Artemis,0
Arwen Undómiel,0
Asajj Ventress,0
Barbara Gordon,0
Bastila Shan,0
Batwoman,0
Black Canary,0
Black Cat,0
Black Widow,0
Captain Marvel,0
Cassandra Alexandra ,0
Cassandra Cain,0
Catwoman,0
Ciri,0
Commander Shepard,0
Cortana,0
D.Va,0
Daenerys Targaryen,0
Demona,0
Donna Troy,0
EDI,0
Elektra,0
Emma Frost,0
Eowyn,0
Firefly,0
Gamora,0
Gwen Stacy,0
Harley Quinn,0
Hawkgirl,0
Hermione Granger,0
Hilde von Krone,0
Huntress,0
Invisible Woman,0
Jacqueline Briggs,0
Jade,0
Jean Gey,0
Jedi Exile,0
Jyn Erso,0
Kamala Khan,0
Karai,0
Kasumi Goto,0
Killer Frost,0
Kitana,0
Lady Shiva,0
Luminara Unduli,0
James Bond M,0
Maleficent,0
Mara Jade Skywalker,0
Mera,0
Minerva McGonagall,0
Miranda Lawson,0
Mockingbird,0
Mothra,0
Mrs. Incredible,0
Mystique,0
Night Nurse,0
Nyssa Raatoko,0
Padme Amidala,0
Peggy Carter,0
Pharah,0
Power Girl,0
Princess Anastasia,0
Princess Leia,0
Psylocke,0
Quorra ,0
Raven,0
Renee Montoya,0
Rey,0
Rogue,0
Rouge the Bat,0
Sabine Wren,0
Samara,0
Samus Aran,0
Satele Shan,0
Scarlet Witch,0
Shaak Ti,0
Sif,0
Silk,0
Spider-woman,0
Star Sapphire,0
Starfire,0
Stephanie Brown,0
Storm,0
Supergirl,0
Toph Beifong,0
Tracer,0
Triss Merigold,0
Vicki Vale,0
Visas Marr,0
Vixen,0
Wonder Woman,0
X-23,0
Yennefer of Vengerberg,0
Zam Wesell,0
Zatanna,0
