prompt,prompt_len,target
xNelsan Ellis,5,1
lJohn Smith,3,1
yCarl Gustav Hempel,5,1
Isaac bzen Moses of Vienna,6,0
John Ro. Neill,5,1
Cass Eslliot,3,1
Helen Willis,3,1
Marjorie de Caastille,6,0
Gajo Longzhi,4,0
Rogesr Boisjoly,5,1
Suzy Covjey,5,1
"Hugh II, Count of yPonthieu",9,0
Harry Earlejs,4,1
Henri Barbmusse,5,0
Leonarfd Nimoy,4,1
Allean Ginsberg,4,1
Spencer Fullerton Baired,4,1
Marlene Dieotrich,3,1
Biernat onf Lublin,5,0
tAlthea Gibson,4,1
Gijsjbert IV van Bronckhorst,9,0
杜e稜,3,0
Milton A. Rwothman,6,1
Clark wL. Hull,5,1
심g흠,3,0
Michael von Faulhabver,5,0
hBarbara W. Tuchman,6,1
Wyadtt Earp,4,1
John J. aRoane,6,1
Jean Bartfik,4,1
Antfal Gabon,3,0
Elias Boudinrot,4,1
Cmharlotte von Lengefeld,6,0
Corneklius Heyns,5,0
Abigail Adamls,3,1
Einar Smjørbak Gunnaarsson,9,0
Eustace zfitz John,7,0
Diego de Efstella,5,0
Dednis Diderot,4,0
Angelpica Kauffman,5,0
hNathaniel Lee,3,0
Georg Wilhelm Rauchenecuker,6,0
Blind Leimon Jefferson,4,1
Nicholas ouf Poland,4,0
Ceseare Vecellio,6,0
oXiao Qiu,3,0
Mickhael Chekhov,4,1
Warren wG. Harding,5,1
Gonzadlo de Berceo,6,0
Frhank Lloyd Wright,4,1
Ray Ewyry,4,1
Johann Hemelitng,5,0
Brownie Majry,4,1
Wlalter Heitz,4,0
Philip Wv. Anderson,5,1
Harriet oFrank Jr.,5,1
Hermann Huxpfeld,5,0
Lti Hang,3,0
John hHuston,3,1
Eduamrd Mezger,5,0
Rbobert Lowie,4,1
Arnold I. von Schebyern,8,0
Zanetta tFarussi,5,0
John F. Kennepdy,5,1
Daniel Buclk,3,1
fJan Lubrański,5,0
Ernest pII,3,0
Whzitney Houston,3,1
Lsord Byron,3,0
Wkalter McCreery,5,1
"William IV, Count of Ponthioeu",9,0
Darius IIlI,3,0
yJ.J. Cale,6,1
Thomas Dnudley,3,1
rOlympias,3,0
John Paul Stecvens,4,1
Agnne Bannerman,4,0
August Jqacob Liebeskind,5,0
Molaenus,4,0
Adolph Dhouai,5,1
Franklin Pietrce,3,1
Thoumas Jefferson,3,1
Adriaen cde Vries,6,0
Fernando Ansúrez IhI,6,0
"Mary Talbot, Countess of Sjhrewsbury",7,0
Jacob van rCampen,5,0
"John of Aragon, Baroon of Avola",9,0
Albert Secherhaye,6,0
Georg eThym,4,0
Jegan Fernel,4,0
cJohn Cassavetes,5,1
Marion Delgorme,4,0
Jjan I of Żagań,7,0
Crarl Tanzler,4,1
Robert Fitzcwalter,4,0
Hans Sloanue,3,0
Jimi Hendriix,4,1
Psablo de Céspedes,5,0
James Monrfoe,3,1
Eric IV of Denmamrk,5,0
Joseph Altmtan,3,1
Albert of Chiatitna,5,0
Boglumił,4,0
Marilyn fMonroe,3,1
Heqnry A. Edmundson,6,1
Robesrt F. Kennedy,5,1
Penter von Beeck,5,0
Yvette of fHuy,5,0
eJoan Tompkins,3,1
Pedro Gómez Bsarroso,5,0
Elisabeth Henriette of Hesse-Kawssel,9,0
William MocKinley,3,1
"Henry FitzRoy, 1st lDuke of Richmond and Somerset",13,0
Bettie Phage,4,1
Ronald Reagakn,3,1
Christian VII of Denqmark,5,0
شاهزrاده ایمهه,5,0
Eriuk Erikson,4,1
John gHuston,3,1
James Francck,3,1
Johann Vierrdanck,5,0
Henrly Ford,3,1
nMiloš Forman,4,1
Roger Boisjsoly,5,1
Joanna orf Rožmitál,7,0
wBarbara Robbins,3,1
손c건,3,0
Ulrich Varxnbüler,6,0
Newton hCannon,3,1
John Jacqob Astor I,5,1
Basi Minzhong,4,0
Vweronica Franco,3,0
Nkate Dogg,3,1
Jean-Jacques xde Mesmes,7,0
Mmario Molina,3,1
Martha pJefferson,3,1
Selena Qupintanilla,4,1
Titus Hosmper,4,1
Willem Jacob Luytehn,6,1
Heignfried Birlenbach,7,0
Alfons Makria Jakob,5,0
Ernst zStromer,4,0
Allene nRay,4,1
Adriaen de lVries,6,0
Theopdore Wharton,3,1
James Brsyant Conant,5,1
"Jeain Baptist, Comte d'Arco",8,0
Jacob Catrl Spener,5,0
Nvathaniel Giles,3,0
Riccardo Quartarjaro,6,0
John Winthrocp the Younger,5,1
Akhtasr Raza Khan,5,0
Herbert Marcmuse,4,1
Jacques yLoeb,3,1
Henry qFonda,3,1
Alexandrer Spotswood,4,1
Wernher von Bragun,6,1
