prompt,prompt_len,target
Moller Albin,5,0
Lampe Jutta,4,0
Borsa Roger,4,0
Jing Zhao,3,1
Yu Guan,3,0
Werner Johannes,3,0
Heister Sigbert,5,0
Shao Lü,3,1
Emperor Yongle,4,0
Kapp Wolfgang,3,1
Sander August,3,0
Frankopan Bernardin,5,1
Schmidt Johannes,3,0
Zhiji Liu,4,0
Burja Abel,4,0
Hua Liao,4,1
Guédron Pierre,5,0
Ning Guan,3,1
d'Orbais Jean,6,0
Zhixing Wang,4,0
Ji Jiang,3,1
Buhai Shen,4,1
Brown Karl,3,0
Gebauer François-René,6,0
Fu Zhang,3,1
Hokusai Katsushika,8,0
Kopman Bernhard,4,1
Dirksen Enno,5,0
II Theodosius,5,1
Cugnot Nicolas-Joseph,7,0
Qi Wei,3,1
Dezhao Zhao,4,0
Circignani Niccolò,7,0
Ke Zhuge,4,0
Vitelli Francesco,4,1
Weigel Helene,5,0
Grillmeier Aloys,5,0
Huan Shen,3,1
LeMay Curtis,4,0
Grahame Gloria,4,0
Denner Balthasar,6,0
Narutowicz Gabriel,4,1
Ravat Pierre,4,0
Soaemias Julia,5,1
Ride Sally,3,0
Aubert Arnaud,4,0
Quan Huang,3,1
Zell Katharina,4,0
Alfonse Jean,5,0
Guangye Pi,4,1
Ravenscroft Thomas,4,0
Sigurdsson Einar,5,0
Dessau Hermann,4,0
Xun Lu,3,1
Lian Song,3,0
Held Heinrich,3,1
Jing Hao,3,1
Liu Empress,4,1
Stenkilsson Eric,5,1
Hamsun Knut,6,0
Irlmaier Alois,6,0
Tan Yang,3,0
Amati Nicola,4,0
Kopman Bernhard,4,1
Kircher Athanasius,6,0
d'Orgemont Pierre,7,1
Sanetsune Ichijō,7,1
Zhong Li,3,1
Nichols Mike,3,0
Li Chen,3,1
Zhichang Li,5,0
Vorster Adolf,4,0
Zuccari Taddeo,6,0
Johnston James,3,1
Qi Li,3,0
Vasil Kogh,5,0
III Govinda,4,1
V Pius,4,0
Mans Remigius,5,0
Bachelder Myrtle,5,0
Gerlich Fritz,4,0
Blösche Josef,5,1
II Otto,3,1
Trost Andreas,3,0
Khmelnytskyi Bohdan,8,1
Xi Liang,3,1
Anshi Wei,4,0
Sanches Alfonso,4,0
Díaz Fernando,3,0
Wise Robert,3,0
Márai Sándor,5,0
Hödel Max,4,1
Terry William,3,1
Visconti Bernabò,5,0
Raupach Ernst,4,0
Prodromos Theodoros,6,0
Bloet Nest,4,1
Corbucci Sergio,4,0
Meissner Walther,5,0
d’Orgemont Nicolas,7,1
Wei Sima,4,1
Racaniello Ludovico,6,1
Shuozhen Chen,5,1
Yun Lu,3,0
Cizong Lei,5,1
Ju Liu,3,0
Diels Rudolf,4,1
II Francis,3,1
Congyan Li,4,0
Qun Chen,4,1
Gardano Antonio,4,0
Curradi Francesco,4,0
Enneper Alfred,5,0
Letzner Johannes,4,0
