prompt,target
- How far is it from here? -It's about five minutes' walk,1
" How soon will you come back, Mum? In ten minutes.",1
"Dad, It's in your desk is my Mp4?",1
"There are some milk, two eggs and a few cakes on the table. ",0
 What an enjoyable music programme on Channel 3!,1
It's important for us to learn English well.,1
I want to know what to do next,1
- How often do you read English newspapers? - I read China Daily every day,1
 What strange type of work it was to fish with birds!,0
 This is very important to have good eating habits.,0
 What useful information you gave us! Thanks a lot!  You are welcome,1
I don't know what kind of pet getting .,0
Granny often tells us to save water in our daily life.,1
My mother makes me drinks milk every day because she thinks it's good for my health.,0
I by my bike to the bus stop.,0
Grace Brown doesn't.  play tennis every day. ,1
"Are you Linda? Yes, I am .",1
My home is next to a cinema.,1
 When does your mother go to work every morning? At eight o'clock,1
"Sometimes I feel stressed, but I don't know who to talk for help.",0
Jack asked when will he arrive tonight .,0
There is going to be a football game this afternoon,1
- How often does your sister practice singing English songs? -Twice a week.,1
"We haven't finished our classwork, have we ?",1
Look at the hat.  It on the floor.,0
The problem is enoughto difficult for me work out.,0
 How long are they staying in Beijing? For three days.,1
- What is Toney's opinion about English food? -Delicious.,1
What is matter with you young man?,0
-Is there a computer on Miss Li's desk - No there isn't . There are only some books on it. ,1
"There will be a new park in the center of the city, isn't there ?",0
"Sometimes I feel stressed, but I don't know who to talk to for help.",1
"If you live near the shopping mall, you have to go far to buy things.",0
He always talks more than Li Lei.,1
I didn't know who to speak to . Can you tell me?,1
 Why don't try this one ? I think it's better.,0
 What an strange type of work it was to fish with birds!,0
"Excuse me, could you tell me how many students had passed the test ?",0
My mother makes me to drink milk every day because she thinks it's good for my health.,0
The boy is lost. The police are searching him.,0
-Do you know what will teach us English? -Miss Wang.,0
Jack asked when he would arrive that night .,1
"- Jenny, How often do you visit your grandparents? - Twice a month.",1
British people usually shake hands the first time they meet.,1
Jack asked when he will arrive tonight .,0
British people usually shake hands the first time I meet.,0
 What an exciting match it is! Wonderful players and wonderful teams!,1
Here is some good sports news.,1
- How soon do you read English newspapers? - I read China Daily every day,0
 What nice weather!Let's go out for a walk,1
I ride my bike to the bus stop.,1
- What's she like? ? -She is of medium height.,1
"-Mom, Where is my new ruler? -It's here, in your bag",1
The boy is lost. The police is searching for him.,0
"- How are your parents? - Fine, thank you",1
